time,symbol,timeframe,open,high,low,close,volume
2025-01-06T00:00:00+00:00,XAUUSD,M5,2600.7,2601.7,2599.7,2600.8999999999996,100
2025-01-06T00:05:00+00:00,XAUUSD,M5,2600.73,2601.73,2599.73,2600.93,101
2025-01-06T00:10:00+00:00,XAUUSD,M5,2599.36,2600.36,2598.36,2599.56,102
2025-01-06T00:15:00+00:00,XAUUSD,M5,2599.3900000000003,2600.3900000000003,2598.3900000000003,2599.59,103
2025-01-06T00:20:00+00:00,XAUUSD,M5,2600.8199999999997,2601.8199999999997,2599.8199999999997,2601.0199999999995,104
2025-01-06T00:25:00+00:00,XAUUSD,M5,2600.85,2601.85,2599.85,2601.0499999999997,100
2025-01-06T00:30:00+00:00,XAUUSD,M5,2599.48,2600.48,2598.48,2599.68,101
2025-01-06T00:35:00+00:00,XAUUSD,M5,2599.51,2600.51,2598.51,2599.71,102
2025-01-06T00:40:00+00:00,XAUUSD,M5,2600.9399999999996,2601.9399999999996,2599.9399999999996,2601.1399999999994,103
2025-01-06T00:45:00+00:00,XAUUSD,M5,2600.97,2601.97,2599.97,2601.1699999999996,104
2025-01-06T00:50:00+00:00,XAUUSD,M5,2599.6000000000004,2600.6000000000004,2598.6000000000004,2599.8,100
2025-01-06T00:55:00+00:00,XAUUSD,M5,2599.63,2600.63,2598.63,2599.83,101
2025-01-06T01:00:00+00:00,XAUUSD,M5,2601.06,2602.06,2600.06,2601.2599999999998,102
2025-01-06T01:05:00+00:00,XAUUSD,M5,2601.0899999999997,2602.0899999999997,2600.0899999999997,2601.2899999999995,103
2025-01-06T01:10:00+00:00,XAUUSD,M5,2599.7200000000003,2600.7200000000003,2598.7200000000003,2599.92,104
2025-01-06T01:15:00+00:00,XAUUSD,M5,2599.75,2600.75,2598.75,2599.95,100
2025-01-06T01:20:00+00:00,XAUUSD,M5,2601.18,2602.18,2600.18,2601.3799999999997,101
2025-01-06T01:25:00+00:00,XAUUSD,M5,2601.21,2602.21,2600.21,2601.41,102
2025-01-06T01:30:00+00:00,XAUUSD,M5,2599.84,2600.84,2598.84,2600.04,103
2025-01-06T01:35:00+00:00,XAUUSD,M5,2599.8700000000003,2600.8700000000003,2598.8700000000003,2600.07,104
2025-01-06T01:40:00+00:00,XAUUSD,M5,2601.2999999999997,2602.2999999999997,2600.2999999999997,2601.4999999999995,100
2025-01-06T01:45:00+00:00,XAUUSD,M5,2601.33,2602.33,2600.33,2601.5299999999997,101
2025-01-06T01:50:00+00:00,XAUUSD,M5,2599.96,2600.96,2598.96,2600.16,102
2025-01-06T01:55:00+00:00,XAUUSD,M5,2599.9900000000002,2600.9900000000002,2598.9900000000002,2600.19,103
2025-01-06T02:00:00+00:00,XAUUSD,M5,2601.4199999999996,2602.4199999999996,2600.4199999999996,2601.6199999999994,104
2025-01-06T02:05:00+00:00,XAUUSD,M5,2601.45,2602.45,2600.45,2601.6499999999996,100
2025-01-06T02:10:00+00:00,XAUUSD,M5,2600.0800000000004,2601.0800000000004,2599.0800000000004,2600.28,101
2025-01-06T02:15:00+00:00,XAUUSD,M5,2600.11,2601.11,2599.11,2600.31,102
2025-01-06T02:20:00+00:00,XAUUSD,M5,2601.54,2602.54,2600.54,2601.74,103
2025-01-06T02:25:00+00:00,XAUUSD,M5,2601.5699999999997,2602.5699999999997,2600.5699999999997,2601.7699999999995,104
2025-01-06T02:30:00+00:00,XAUUSD,M5,2600.2000000000003,2601.2000000000003,2599.2000000000003,2600.4,100
2025-01-06T02:35:00+00:00,XAUUSD,M5,2600.23,2601.23,2599.23,2600.43,101
2025-01-06T02:40:00+00:00,XAUUSD,M5,2601.66,2602.66,2600.66,2601.8599999999997,102
2025-01-06T02:45:00+00:00,XAUUSD,M5,2601.6899999999996,2602.6899999999996,2600.6899999999996,2601.8899999999994,103
2025-01-06T02:50:00+00:00,XAUUSD,M5,2600.32,2601.32,2599.32,2600.52,104
2025-01-06T02:55:00+00:00,XAUUSD,M5,2600.3500000000004,2601.3500000000004,2599.3500000000004,2600.55,100
2025-01-06T03:00:00+00:00,XAUUSD,M5,2601.7799999999997,2602.7799999999997,2600.7799999999997,2601.9799999999996,101
2025-01-06T03:05:00+00:00,XAUUSD,M5,2601.81,2602.81,2600.81,2602.0099999999998,102
2025-01-06T03:10:00+00:00,XAUUSD,M5,2600.44,2601.44,2599.44,2600.64,103
2025-01-06T03:15:00+00:00,XAUUSD,M5,2600.4700000000003,2601.4700000000003,2599.4700000000003,2600.67,104
2025-01-06T03:20:00+00:00,XAUUSD,M5,2601.8999999999996,2602.8999999999996,2600.8999999999996,2602.0999999999995,100
2025-01-06T03:25:00+00:00,XAUUSD,M5,2601.93,2602.93,2600.93,2602.1299999999997,101
2025-01-06T03:30:00+00:00,XAUUSD,M5,2600.5600000000004,2601.5600000000004,2599.5600000000004,2600.76,102
2025-01-06T03:35:00+00:00,XAUUSD,M5,2600.59,2601.59,2599.59,2600.79,103
2025-01-06T03:40:00+00:00,XAUUSD,M5,2602.02,2603.02,2601.02,2602.22,104
2025-01-06T03:45:00+00:00,XAUUSD,M5,2602.0499999999997,2603.0499999999997,2601.0499999999997,2602.2499999999995,100
2025-01-06T03:50:00+00:00,XAUUSD,M5,2600.6800000000003,2601.6800000000003,2599.6800000000003,2600.88,101
2025-01-06T03:55:00+00:00,XAUUSD,M5,2600.71,2601.71,2599.71,2600.91,102
