run_id,event_id,time,strategy,symbol,stage,decision,reason,setup_id
SYNTHETIC_DEMO_ONLY,E0a,2025-01-06T02:00:00+00:00,Scalping,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z1
SYNTHETIC_DEMO_ONLY,E0b,2025-01-06T02:00:00+00:00,Scalping,XAUUSD,GATE,OBSERVED_PASS,SOP_PASS,Z1
SYNTHETIC_DEMO_ONLY,E1a,2025-01-06T06:00:00+00:00,Intraday,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z2
SYNTHETIC_DEMO_ONLY,E1b,2025-01-06T06:00:00+00:00,Intraday,XAUUSD,GATE,BLOCK,RISK_LIMIT,EXTRA_Z2
SYNTHETIC_DEMO_ONLY,E2a,2025-01-06T10:00:00+00:00,Swing,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z3
SYNTHETIC_DEMO_ONLY,E2b,2025-01-06T10:00:00+00:00,Swing,XAUUSD,GATE,OBSERVED_PASS,SOP_PASS,Z3
SYNTHETIC_DEMO_ONLY,E3a,2025-01-06T14:00:00+00:00,Scalping,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z4
SYNTHETIC_DEMO_ONLY,E3b,2025-01-06T14:00:00+00:00,Scalping,XAUUSD,GATE,OBSERVED_PASS,SOP_PASS,Z4
SYNTHETIC_DEMO_ONLY,E4a,2025-01-06T18:00:00+00:00,Intraday,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z5
SYNTHETIC_DEMO_ONLY,E4b,2025-01-06T18:00:00+00:00,Intraday,XAUUSD,GATE,OBSERVED_PASS,SOP_PASS,Z5
SYNTHETIC_DEMO_ONLY,E5a,2025-01-06T22:00:00+00:00,Swing,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z6
SYNTHETIC_DEMO_ONLY,E5b,2025-01-06T22:00:00+00:00,Swing,XAUUSD,GATE,BLOCK,RISK_LIMIT,EXTRA_Z6
SYNTHETIC_DEMO_ONLY,E6a,2025-01-07T02:00:00+00:00,Scalping,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z7
SYNTHETIC_DEMO_ONLY,E6b,2025-01-07T02:00:00+00:00,Scalping,XAUUSD,GATE,OBSERVED_PASS,SOP_PASS,Z7
SYNTHETIC_DEMO_ONLY,E7a,2025-01-07T06:00:00+00:00,Intraday,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z8
SYNTHETIC_DEMO_ONLY,E7b,2025-01-07T06:00:00+00:00,Intraday,XAUUSD,GATE,OBSERVED_PASS,SOP_PASS,Z8
SYNTHETIC_DEMO_ONLY,E8a,2025-01-07T10:00:00+00:00,Swing,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z9
SYNTHETIC_DEMO_ONLY,E8b,2025-01-07T10:00:00+00:00,Swing,XAUUSD,GATE,OBSERVED_PASS,SOP_PASS,Z9
SYNTHETIC_DEMO_ONLY,E9a,2025-01-07T14:00:00+00:00,Scalping,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z10
SYNTHETIC_DEMO_ONLY,E9b,2025-01-07T14:00:00+00:00,Scalping,XAUUSD,GATE,BLOCK,RISK_LIMIT,EXTRA_Z10
SYNTHETIC_DEMO_ONLY,E10a,2025-01-07T18:00:00+00:00,Intraday,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z11
SYNTHETIC_DEMO_ONLY,E10b,2025-01-07T18:00:00+00:00,Intraday,XAUUSD,GATE,OBSERVED_PASS,SOP_PASS,Z11
SYNTHETIC_DEMO_ONLY,E11a,2025-01-07T22:00:00+00:00,Swing,XAUUSD,CANDIDATE,OBSERVED,SETUP_PRESENT,Z12
SYNTHETIC_DEMO_ONLY,E11b,2025-01-07T22:00:00+00:00,Swing,XAUUSD,GATE,OBSERVED_PASS,SOP_PASS,Z12
