time,symbol,bid,ask,last,volume
2025-01-06T00:00:00+00:00,XAUUSD,2600.7,2600.8199999999997,2600.7,1
2025-01-06T00:05:00+00:00,XAUUSD,2600.73,2600.85,2600.73,1
2025-01-06T00:10:00+00:00,XAUUSD,2599.36,2599.48,2599.36,1
2025-01-06T00:15:00+00:00,XAUUSD,2599.3900000000003,2599.51,2599.3900000000003,1
2025-01-06T00:20:00+00:00,XAUUSD,2600.8199999999997,2600.9399999999996,2600.8199999999997,1
2025-01-06T00:25:00+00:00,XAUUSD,2600.85,2600.97,2600.85,1
2025-01-06T00:30:00+00:00,XAUUSD,2599.48,2599.6,2599.48,1
2025-01-06T00:35:00+00:00,XAUUSD,2599.51,2599.63,2599.51,1
2025-01-06T00:40:00+00:00,XAUUSD,2600.9399999999996,2601.0599999999995,2600.9399999999996,1
2025-01-06T00:45:00+00:00,XAUUSD,2600.97,2601.0899999999997,2600.97,1
2025-01-06T00:50:00+00:00,XAUUSD,2599.6000000000004,2599.7200000000003,2599.6000000000004,1
2025-01-06T00:55:00+00:00,XAUUSD,2599.63,2599.75,2599.63,1
2025-01-06T01:00:00+00:00,XAUUSD,2601.06,2601.18,2601.06,1
2025-01-06T01:05:00+00:00,XAUUSD,2601.0899999999997,2601.2099999999996,2601.0899999999997,1
2025-01-06T01:10:00+00:00,XAUUSD,2599.7200000000003,2599.84,2599.7200000000003,1
2025-01-06T01:15:00+00:00,XAUUSD,2599.75,2599.87,2599.75,1
2025-01-06T01:20:00+00:00,XAUUSD,2601.18,2601.2999999999997,2601.18,1
2025-01-06T01:25:00+00:00,XAUUSD,2601.21,2601.33,2601.21,1
2025-01-06T01:30:00+00:00,XAUUSD,2599.84,2599.96,2599.84,1
2025-01-06T01:35:00+00:00,XAUUSD,2599.8700000000003,2599.9900000000002,2599.8700000000003,1
2025-01-06T01:40:00+00:00,XAUUSD,2601.2999999999997,2601.4199999999996,2601.2999999999997,1
2025-01-06T01:45:00+00:00,XAUUSD,2601.33,2601.45,2601.33,1
2025-01-06T01:50:00+00:00,XAUUSD,2599.96,2600.08,2599.96,1
2025-01-06T01:55:00+00:00,XAUUSD,2599.9900000000002,2600.11,2599.9900000000002,1
2025-01-06T02:00:00+00:00,XAUUSD,2601.4199999999996,2601.5399999999995,2601.4199999999996,1
2025-01-06T02:05:00+00:00,XAUUSD,2601.45,2601.5699999999997,2601.45,1
2025-01-06T02:10:00+00:00,XAUUSD,2600.0800000000004,2600.2000000000003,2600.0800000000004,1
2025-01-06T02:15:00+00:00,XAUUSD,2600.11,2600.23,2600.11,1
2025-01-06T02:20:00+00:00,XAUUSD,2601.54,2601.66,2601.54,1
2025-01-06T02:25:00+00:00,XAUUSD,2601.5699999999997,2601.6899999999996,2601.5699999999997,1
2025-01-06T02:30:00+00:00,XAUUSD,2600.2000000000003,2600.32,2600.2000000000003,1
2025-01-06T02:35:00+00:00,XAUUSD,2600.23,2600.35,2600.23,1
2025-01-06T02:40:00+00:00,XAUUSD,2601.66,2601.7799999999997,2601.66,1
2025-01-06T02:45:00+00:00,XAUUSD,2601.6899999999996,2601.8099999999995,2601.6899999999996,1
2025-01-06T02:50:00+00:00,XAUUSD,2600.32,2600.44,2600.32,1
2025-01-06T02:55:00+00:00,XAUUSD,2600.3500000000004,2600.4700000000003,2600.3500000000004,1
2025-01-06T03:00:00+00:00,XAUUSD,2601.7799999999997,2601.8999999999996,2601.7799999999997,1
2025-01-06T03:05:00+00:00,XAUUSD,2601.81,2601.93,2601.81,1
2025-01-06T03:10:00+00:00,XAUUSD,2600.44,2600.56,2600.44,1
2025-01-06T03:15:00+00:00,XAUUSD,2600.4700000000003,2600.59,2600.4700000000003,1
2025-01-06T03:20:00+00:00,XAUUSD,2601.8999999999996,2602.0199999999995,2601.8999999999996,1
2025-01-06T03:25:00+00:00,XAUUSD,2601.93,2602.0499999999997,2601.93,1
2025-01-06T03:30:00+00:00,XAUUSD,2600.5600000000004,2600.6800000000003,2600.5600000000004,1
2025-01-06T03:35:00+00:00,XAUUSD,2600.59,2600.71,2600.59,1
