run_id,position_id,strategy,symbol,side,time_open,time_close,volume,entry_price,exit_price,initial_sl,initial_tp,gross_profit,commission,swap,fee,net_profit,mfe_money,mae_money,risk_pct,setup_id,spread_money,slippage_money,spread_points,chase_entry,loss_classification
SYNTHETIC_DEMO_ONLY,S1,Scalping,XAUUSD,BUY,2025-01-06T02:00:00+00:00,2025-01-06T02:15:00+00:00,0.02,2600,2606.07,2595,2608,12.14,-0.14,0,0,12,19,1,1.8,Z1,,,12,YES,ENTRY_TOO_LATE
SYNTHETIC_DEMO_ONLY,S2,Intraday,XAUUSD,SELL,2025-01-06T06:00:00+00:00,2025-01-06T06:55:00+00:00,0.02,2602,2605.93,2607,2594,-7.86,-0.14,0,0,-8,0,8,0.5,Z2,,,12,NO,UNKNOWN
SYNTHETIC_DEMO_ONLY,S3,Swing,XAUUSD,BUY,2025-01-06T10:00:00+00:00,2025-01-06T11:35:00+00:00,0.02,2604,2606.57,2599,2612,5.14,-0.14,0,0,5,12,1,0.5,Z3,,,12,NO,UNKNOWN
SYNTHETIC_DEMO_ONLY,S4,Scalping,XAUUSD,SELL,2025-01-06T14:00:00+00:00,2025-01-06T14:15:00+00:00,0.02,2606,2611.43,2611,2598,-10.86,-0.14,0,0,-11,0,11,0.5,Z4,,,12,NO,UNKNOWN
SYNTHETIC_DEMO_ONLY,S5,Intraday,XAUUSD,BUY,2025-01-06T18:00:00+00:00,2025-01-06T18:55:00+00:00,0.02,2608,2618.07,2603,2616,20.14,-0.14,0,0,20,27,1,0.5,Z5,,,12,YES,ENTRY_TOO_LATE
SYNTHETIC_DEMO_ONLY,S6,Swing,XAUUSD,SELL,2025-01-06T22:00:00+00:00,2025-01-06T23:35:00+00:00,0.02,2610,2609.93,2615,2602,0.14,-0.14,0,0,0,7,1,0.5,Z6,,,12,NO,UNKNOWN
SYNTHETIC_DEMO_ONLY,S7,Scalping,XAUUSD,BUY,2025-01-07T02:00:00+00:00,2025-01-07T02:15:00+00:00,0.02,2612,2609.57,2607,2620,-4.86,-0.14,0,0,-5,2,5,0.5,Z7,,,12,NO,UNKNOWN
SYNTHETIC_DEMO_ONLY,S8,Intraday,XAUUSD,SELL,2025-01-07T06:00:00+00:00,2025-01-07T06:55:00+00:00,0.02,2614,2609.43,2619,2606,9.14,-0.14,0,0,9,16,1,0.5,Z8,,,12,NO,UNKNOWN
SYNTHETIC_DEMO_ONLY,S9,Swing,XAUUSD,BUY,2025-01-07T10:00:00+00:00,2025-01-07T11:35:00+00:00,0.02,2616,2609.07,2611,2624,-13.86,-0.14,0,0,-14,0,14,0.5,Z9,,,12,YES,ENTRY_TOO_LATE
SYNTHETIC_DEMO_ONLY,S10,Scalping,XAUUSD,SELL,2025-01-07T14:00:00+00:00,2025-01-07T14:15:00+00:00,0.02,2618,2608.93,2623,2610,18.14,-0.14,0,0,18,25,1,0.5,Z10,,,12,NO,UNKNOWN
SYNTHETIC_DEMO_ONLY,S11,Intraday,XAUUSD,BUY,2025-01-07T18:00:00+00:00,2025-01-07T18:55:00+00:00,0.02,2620,2618.57,2615,2628,-2.86,-0.14,0,0,-3,4,3,0.5,Z11,,,12,NO,UNKNOWN
SYNTHETIC_DEMO_ONLY,S12,Swing,XAUUSD,SELL,2025-01-07T22:00:00+00:00,2025-01-07T23:35:00+00:00,0.02,2622,2618.43,2627,2614,7.14,-0.14,0,0,7,14,1,0.5,Z12,,,12,NO,UNKNOWN
